"proteinType","proteinSearched","todaysDate"
"COL4A6","col4a6","Wed Sep 09 08:41:35 2020"
"COL4A5","col4a6","Wed Sep 09 08:41:35 2020"
"ATG4A","col4a6","Wed Sep 09 08:41:35 2020"
"lnc-COL4A6-2","col4a6","Wed Sep 09 08:41:35 2020"
"FH","col4a6","Wed Sep 09 08:41:35 2020"
"MIRLET7C","col4a6","Wed Sep 09 08:41:35 2020"
"COL4A4","col4a6","Wed Sep 09 08:41:35 2020"
"COL4A3","col4a6","Wed Sep 09 08:41:35 2020"
"ENSG00000189372","col4a6","Wed Sep 09 08:41:35 2020"
"MMP2","col4a6","Wed Sep 09 08:41:35 2020"
"RF00017-8614","col4a6","Wed Sep 09 08:41:35 2020"
"COL4A1","col4a6","Wed Sep 09 08:41:35 2020"
"IGF1","col4a6","Wed Sep 09 08:41:35 2020"
"TGFB3","col4a6","Wed Sep 09 08:41:35 2020"
"EGF","col4a6","Wed Sep 09 08:41:35 2020"
"COL4A2","col4a6","Wed Sep 09 08:41:35 2020"
"NONHSAG055080.2","col4a6","Wed Sep 09 08:41:35 2020"
"MMP1","col4a6","Wed Sep 09 08:41:35 2020"
"IGF2","col4a6","Wed Sep 09 08:41:35 2020"
"ESR1","col4a6","Wed Sep 09 08:41:35 2020"
"ESR2","col4a6","Wed Sep 09 08:41:35 2020"
"GNRH1","col4a6","Wed Sep 09 08:41:35 2020"
"EPPIN","col4a6","Wed Sep 09 08:41:35 2020"
"PGR","col4a6","Wed Sep 09 08:41:35 2020"
"GNRHR","col4a6","Wed Sep 09 08:41:35 2020"
